,Date,Open,High,Low,Close*,Adj Close**,Volume,MA10,MA20,Profit/ Loss
1244,18-May-18,"24,707.72","24,774.97","24,664.87",24715.09,"24,715.09","269,700,000",27436.392,27701.5315,Profit
742,18-May-20,"24,059.98","24,708.54","24,059.98",24597.37,"24,597.37","484,190,000",27331.327,27344.885,Profit
490,18-May-21,"34,351.18","34,408.99","34,044.10",34060.66,"34,060.66","289,590,000",28368.851,27781.6685,Profit
237,18-May-22,"32,468.67","32,468.67","31,393.95",31490.07,"31,490.07","465,060,000",29040.965,28193.7735,Profit
741,19-May-20,"24,577.48","24,599.50","24,202.96",24206.86,"24,206.86","374,100,000",28875.383,27703.044,Profit
489,19-May-21,"33,945.81","33,945.81","33,473.80",33896.04,"33,896.04","348,480,000",29042.645,27788.013,Profit
236,19-May-22,"31,262.62","31,569.13","31,016.41",31253.13,"31,253.13","517,190,000",29696.56,28105.699,Loss
993,20-May-19,"25,655.31","25,751.71","25,560.55",25679.9,"25,679.90","279,560,000",29688.15,28113.0915,Loss
740,20-May-20,"24,455.94","24,649.48","24,455.94",24575.9,"24,575.90","366,510,000",28712.961,28160.6195,Loss
488,20-May-21,"33,906.30","34,233.40","33,872.41",34084.15,"34,084.15","320,150,000",28855.917,28145.7205,Loss
235,20-May-22,"31,426.94","31,515.78","30,635.76",31261.9,"31,261.90","495,510,000",29510.598,28473.495,Loss
1243,21-May-18,"24,883.06","25,086.49","24,883.06",25013.29,"25,013.29","308,920,000",29552.19,28441.7585,Loss
992,21-May-19,"25,782.34","25,898.27","25,779.61",25877.33,"25,877.33","260,870,000",28733.857,28551.354,Loss
739,21-May-20,"24,564.27","24,718.46","24,370.88",24474.12,"24,474.12","346,770,000",28032.262,28536.6135,Loss
487,21-May-21,"34,121.91","34,415.48","34,121.91",34207.84,"34,207.84","306,360,000",29032.36,28953.8715,Loss
1242,22-May-18,"25,047.55","25,064.99","24,812.06",24834.41,"24,834.41","288,200,000",28126.197,28584.421,Loss
991,22-May-19,"25,818.46","25,878.21","25,755.11",25776.61,"25,776.61","241,760,000",27578.545,28637.5525,Loss
738,22-May-20,"24,461.98","24,481.64","24,294.07",24465.16,"24,465.16","255,660,000",27457.071,28572.6105,Loss
1241,23-May-18,"24,757.71","24,889.46","24,667.12",24886.81,"24,886.81","399,610,000",27488.162,28100.5615,Profit
990,23-May-19,"25,657.99","25,657.99","25,328.09",25490.47,"25,490.47","316,940,000",26628.794,27742.3555,Profit
234,23-May-22,"31,395.89","31,968.42","31,395.89",31880.24,"31,880.24","402,010,000",26690.628,28100.613,Profit
1240,24-May-18,"24,877.36","24,877.36","24,605.90",24811.76,"24,811.76","347,050,000",26670.475,28111.3325,Profit
989,24-May-19,"25,551.07","25,670.81","25,496.20",25585.69,"25,585.69","201,370,000",26641.311,27687.584,Profit
486,24-May-21,"34,253.87","34,472.51","34,253.87",34393.98,"34,393.98","251,010,000",27633.297,27832.7795,Profit
233,24-May-22,"31,717.61","32,014.86","31,365.59",31928.62,"31,928.62","382,950,000",27405.375,28218.8675,Profit
1239,25-May-18,"24,781.29","24,824.22","24,687.81",24753.09,"24,753.09","257,210,000",27397.243,27761.72,Profit
485,25-May-21,"34,428.66","34,511.35","34,266.03",34312.46,"34,312.46","285,760,000",28250.828,27914.6865,Profit
232,25-May-22,"31,816.31","32,254.44","31,754.33",32120.28,"32,120.28","343,460,000",29016.34,28236.7055,Profit
737,26-May-20,"24,781.84","25,176.42","24,781.84",24995.11,"24,995.11","424,380,000",29027.17,28257.666,Profit
484,26-May-21,"34,336.34","34,409.59","34,271.44",34323.05,"34,323.05","258,780,000",29910.428,28269.611,Loss
231,26-May-22,"32,248.17","32,774.14","32,248.17",32637.19,"32,637.19","351,220,000",29986.123,28338.3755,Loss
736,27-May-20,"25,298.63","25,551.56","25,009.87",25548.27,"25,548.27","411,230,000",30059.774,28365.1245,Loss
483,27-May-21,"34,432.47","34,608.82","34,389.24",34464.64,"34,464.64","520,630,000",30947.669,28794.49,Loss
230,27-May-22,"32,735.09","33,213.62","32,682.01",33212.96,"33,212.96","328,770,000",30829.567,29231.432,Loss
988,28-May-19,"25,616.55","25,717.63","25,342.28",25347.77,"25,347.77","358,980,000",30171.482,28788.4285,Loss
735,28-May-20,"25,697.36","25,758.79","25,358.73",25400.64,"25,400.64","377,800,000",30236.237,28816.74,Loss
482,28-May-21,"34,558.50","34,631.11","34,520.09",34529.45,"34,529.45","290,850,000",30257.936,29254.382,Loss
1238,29-May-18,"24,606.59","24,635.18","24,247.84",24361.45,"24,361.45","395,810,000",29482.053,29249.1965,Loss
987,29-May-19,"25,231.46","25,231.46","24,938.24",25126.41,"25,126.41","298,930,000",29495.183,29261.1765,Loss
734,29-May-20,"25,324.15","25,482.80","25,031.67",25383.11,"25,383.11","527,620,000",28601.189,29255.8085,Loss
1237,30-May-18,"24,467.83","24,714.48","24,459.09",24667.78,"24,667.78","324,870,000",27804.248,28895.1855,Profit
986,30-May-19,"25,139.94","25,218.54","25,066.75",25169.88,"25,169.88","215,240,000",27766.409,28913.0915,Loss
1236,31-May-18,"24,620.79","24,620.79","24,352.15",24415.84,"24,415.84","429,740,000",26761.529,28854.599,Profit
985,31-May-19,"25,046.31","25,046.31","24,809.51",24815.04,"24,815.04","292,230,000",25921.737,28375.652,Loss
229,31-May-22,"33,160.59","33,240.22","32,752.34",32990.12,"32,990.12","533,560,000",26685.972,28428.727,Profit
1128,1-Nov-18,"25,142.08","25,396.47","25,108.11",25380.74,"25,380.74","383,970,000",26683.982,28460.1095,Loss
877,1-Nov-19,"27,142.95","27,347.43","27,142.95",27347.36,"27,347.36","270,870,000",25965.773,28111.8545,Profit
374,1-Nov-21,"35,833.65","36,009.74","35,797.97",35913.84,"35,913.84","292,880,000",27121.012,28301.5325,Loss
122,1-Nov-22,"32,862.79","32,975.48","32,485.23",32653.2,"32,653.20","323,210,000",27873.691,28684.437,Profit
1127,2-Nov-18,"25,443.60","25,578.98","25,078.72",25270.83,"25,270.83","429,480,000",27862.463,28231.826,Loss
625,2-Nov-20,"26,691.28","27,043.48","26,691.28",26925.05,"26,925.05","379,990,000",28088.19,27946.219,Profit
373,2-Nov-21,"35,935.11","36,088.81","35,884.13",36052.63,"36,052.63","304,510,000",29176.465,28471.437,Loss
121,2-Nov-22,"32,576.28","33,071.93","32,139.77",32147.76,"32,147.76","398,430,000",29949.657,28355.593,Profit
624,3-Nov-20,"27,138.69","27,640.21","27,138.69",27480.03,"27,480.03","350,980,000",30216.156,28068.9465,Profit
372,3-Nov-21,"36,059.09","36,178.51","35,891.73",36157.58,"36,157.58","262,540,000",30532.902,28609.437,Loss
120,3-Nov-22,"31,985.05","32,185.71","31,727.05",32001.25,"32,001.25","354,440,000",31194.953,28939.4675,Loss
876,4-Nov-19,"27,402.06","27,517.58","27,402.06",27462.11,"27,462.11","273,030,000",31206.428,28586.1005,Profit
623,4-Nov-20,"27,512.83","28,301.50","27,512.83",27847.66,"27,847.66","447,860,000",30399.81,28760.411,Loss
371,4-Nov-21,"36,107.46","36,168.03","35,986.48",36124.23,"36,124.23","307,640,000",30746.913,29310.302,Profit
119,4-Nov-22,"32,265.01","32,611.52","31,938.92",32403.22,"32,403.22","422,370,000",31460.152,29661.3075,Loss
1126,5-Nov-18,"25,261.47","25,507.35","25,261.47",25461.7,"25,461.70","334,740,000",31313.817,29701.0035,Profit
875,5-Nov-19,"27,500.23","27,560.36","27,453.55",27492.63,"27,492.63","286,350,000",30457.817,29817.141,Loss
622,5-Nov-20,"28,083.37","28,495.05","28,083.37",28390.18,"28,390.18","390,140,000",30082.059,30015.858,Loss
